Date,Adj Close,Open,High,Low,Close,Volume
2013-01-02,12.87,12.8,12.9,12.66,12.87,65420000
2013-01-03,12.92,12.86,13.04,12.82,12.92,55018000
2013-01-04,12.96,12.88,12.99,12.83,12.96,37484000
2013-01-07,13.42,13.15,13.49,13.13,13.42,98200000
2013-01-08,13.32,13.35,13.45,13.18,13.32,60214000
2013-01-09,13.32,13.41,13.48,13.27,13.32,45312000
2013-01-10,13.27,13.43,13.44,13.11,13.27,57268000
2013-01-11,13.4,13.26,13.42,13.21,13.4,48266000
2013-01-14,13.64,13.4,13.71,13.38,13.64,85500000
2013-01-15,13.6,13.53,13.64,13.47,13.6,46538000
2013-01-16,13.45,13.53,13.56,13.39,13.45,41312000
2013-01-17,13.52,13.57,13.6,13.46,13.52,37692000
2013-01-18,13.61,13.54,13.73,13.48,13.61,58840000
2013-01-22,13.51,13.58,13.6,13.46,13.51,42754000
2013-01-23,13.41,13.53,13.55,13.33,13.41,50178000
2013-01-24,13.67,13.47,13.83,13.47,13.67,68340000
2013-01-25,14.2,13.75,14.24,13.72,14.2,99362000
2013-01-28,13.8,14.19,14.22,13.72,13.8,86428000
2013-01-29,13.02,13.77,13.77,12.92,13.02,203452000
2013-01-30,13.64,14.15,14.21,13.36,13.64,261508000
2013-01-31,13.27,13.55,13.8,13.19,13.27,135442000
2013-02-01,13.25,13.45,13.45,13.14,13.25,122300000
2013-02-04,13.0,13.14,13.23,12.95,13.0,74472000
2013-02-05,13.34,13.1,13.4,13.07,13.34,80258000
2013-02-06,13.11,13.26,13.34,13.06,13.11,55408000
2013-02-07,13.01,13.2,13.2,12.76,13.01,79514000
2013-02-08,13.1,13.07,13.26,13.03,13.1,77584000
2013-02-11,12.86,13.16,13.16,12.83,12.86,68074000
2013-02-12,12.94,12.96,13.01,12.85,12.94,58874000
2013-02-13,13.47,13.08,13.5,13.02,13.47,105860000
2013-02-14,13.46,13.37,13.53,13.27,13.46,69260000
2013-02-15,13.25,13.38,13.45,13.16,13.25,79598000
2013-02-19,13.49,13.3,13.51,13.23,13.49,57084000
2013-02-20,13.32,13.51,13.72,13.32,13.32,70578000
2013-02-21,13.3,13.26,13.47,13.16,13.3,72748000
2013-02-22,13.27,13.33,13.36,13.08,13.27,62496000
2013-02-25,12.99,13.35,13.43,12.98,12.99,60648000
2013-02-26,12.97,13.04,13.1,12.79,12.97,66972000
2013-02-27,13.16,12.97,13.29,12.84,13.16,58162000
2013-02-28,13.21,13.09,13.35,13.03,13.21,53344000
2013-03-01,13.29,13.16,13.33,13.05,13.29,59140000
2013-03-04,13.66,13.27,13.66,13.21,13.66,69060000
2013-03-05,13.78,13.7,13.83,13.5,13.78,73724000
2013-03-06,13.69,13.79,13.82,13.59,13.69,41014000
2013-03-07,13.69,13.7,13.74,13.59,13.69,38780000
2013-03-08,13.71,13.75,13.77,13.57,13.71,37596000
2013-03-11,13.56,13.67,13.7,13.52,13.56,38098000
2013-03-12,13.71,13.55,13.87,13.52,13.71,64924000
2013-03-13,13.76,13.76,13.82,13.63,13.76,37684000
2013-03-14,13.29,13.48,13.5,13.18,13.29,104534000
2013-03-15,13.09,13.25,13.36,13.0,13.09,97318000
2013-03-18,12.89,12.97,13.07,12.86,12.89,54404000
2013-03-19,12.82,12.92,12.98,12.63,12.82,74770000
2013-03-20,12.86,12.9,12.99,12.73,12.86,54778000
2013-03-21,12.67,12.81,12.85,12.63,12.67,56128000
2013-03-22,12.89,12.73,12.89,12.6,12.89,62492000
2013-03-25,12.8,12.93,12.97,12.73,12.8,50278000
2013-03-26,13.02,12.85,13.07,12.81,13.02,48420000
2013-03-27,13.27,12.94,13.3,12.9,13.27,57498000
2013-03-28,13.32,13.29,13.37,13.2,13.32,49474000
2013-04-01,13.08,13.35,13.37,13.05,13.08,50496000
2013-04-02,13.17,13.12,13.29,13.03,13.17,52622000
2013-04-03,12.95,13.11,13.18,12.89,12.95,48276000
2013-04-04,12.95,12.96,13.02,12.81,12.95,39288000
2013-04-05,12.77,12.79,12.81,12.68,12.77,51148000
2013-04-08,12.95,12.8,12.98,12.78,12.95,45912000
2013-04-09,13.06,12.94,13.13,12.85,13.06,43132000
2013-04-10,13.24,13.09,13.3,12.97,13.24,46450000
2013-04-11,13.49,13.24,13.55,13.24,13.49,61810000
2013-04-12,13.64,13.51,13.66,13.35,13.64,57326000
2013-04-15,13.39,13.55,13.76,13.35,13.39,66520000
2013-04-16,13.62,13.47,13.64,13.4,13.62,42744000
2013-04-17,13.37,13.54,13.54,13.21,13.37,62702000
2013-04-18,12.97,13.34,13.35,12.83,12.97,62752000
2013-04-19,13.02,12.91,13.14,12.88,13.02,52050000
2013-04-22,13.18,12.97,13.23,12.9,13.18,42382000
2013-04-23,13.44,13.23,13.49,13.23,13.44,45412000
2013-04-24,13.44,13.48,13.57,13.34,13.44,37056000
2013-04-25,13.73,13.58,13.79,13.52,13.73,122330000
2013-04-26,12.74,13.5,13.6,12.64,12.74,280600000
2013-04-29,12.49,12.74,12.85,12.46,12.49,142340000
2013-04-30,12.69,12.47,12.73,12.43,12.69,84976000
2013-05-01,12.41,12.69,12.71,12.29,12.41,87828000
2013-05-02,12.63,12.45,12.65,12.29,12.63,78724000
2013-05-03,12.9,12.81,12.96,12.73,12.9,70280000
2013-05-06,12.79,12.9,12.98,12.67,12.79,46956000
2013-05-07,12.89,12.82,12.99,12.65,12.89,62674000
2013-05-08,12.93,12.84,13.02,12.77,12.93,53540000
2013-05-09,13.01,12.94,13.18,12.84,13.01,55386000
2013-05-10,13.18,13.04,13.18,13.01,13.18,62906000
2013-05-13,13.23,13.14,13.29,13.1,13.23,42990000
2013-05-14,13.42,13.23,13.47,13.2,13.42,54000000
